data_ogloszenia;nr_bzp;wojewodztwo;zamawiajacy;miejscowosc;przedmiot;rodzaj_zamowienia;cpv_glowny;wspolfinansowanie_ue;wynik;liczba_ofert;cena_najnizsza_pln;cena_najwyzsza_pln;cena_wybrana_pln;wykonawca_lub_wykonawcy;data_umowy
2023-04-26;2023/BZP 00194074/01;wielkopolskie;GMINNY ZAKŁAD GOSPODARKI KOMUNALNEJ I MIESZKANIOWEJ W WĄGROWCU;Wągrowiec;Modernizacja stacji uzdatniania wody w miejscowości Kobylec wraz z monitoringiem produkcji i zużycia wody;Roboty budowlane;45000000-7 - Roboty budowlane;Nie;umowa;1;3687540,00;3687540,00;3687540,00;METROLOG SP. Z O.O. (NIP 7631861838 , Czarnków );2023-04-26
2023-04-26;2023/BZP 00194165/01;wielkopolskie;GMINNY ZAKŁAD GOSPODARKI KOMUNALNEJ I MIESZKANIOWEJ W WĄGROWCU;Wągrowiec;Modernizacja stacji uzdatniania wody w miejscowości Potulice wraz z monitoringiem produkcji i zużycia wody.;Roboty budowlane;45000000-7 - Roboty budowlane;Nie;umowa;1;3608820,00;3608820,00;3608820,00;METROLOG Sp. z o.o. (NIP 7631861838 , Czarnków );2023-04-26
2023-05-08;2023/BZP 00205793/01;świętokrzyskie;GMINA ĆMIELÓW;Ćmielów;Dostawa urządzeń pomiarowych wraz z urządzeniami i oprogramowaniem do zarządzania odczytami i wizualizacją danych w ramach modernizacji sieci wodno-kanalizacyjnej „e-Woda” w Gminie Ćmielów;Dostawy;38410000-2 - Przyrządy pomiarowe;Nie;umowa;1;221338,50;221338,50;221338,50;S WATER SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (NIP REGON 381998902 , Tychy );2023-05-05
2023-05-26;2023/BZP 00234116/01;małopolskie;Politechnika Krakowska im. Tadeusza Kościuszki;Kraków;Dostawa i montaż modułów telemetrycznych do przesyłu danych z urządzeń do pomiarów parametrów jakości wody w sieci wodociągowej (on-line) i w Zakładach Uzdatniania Wody (on-line) - 9 modułów;Dostawy;38000000-5 - Sprzęt laboratoryjny, optyczny i precyzyjny (z wyjątkiem szklanego);Tak;umowa;1;172200,00;172200,00;172200,00;Mikroserw Dominik Mikołajczyk (NIP 737-195-09-75 , Szczawa );2023-05-25
2023-06-20;2023/BZP 00267632/01;lubelskie;Gmina Janowiec;Janowiec;Modernizacja sieci wod-kan poprzez przebudowę hydroforni, rozbudowę sieci wodociągowej, dostawę i montaż urządzeń do nadzoru nad produkcją i jakością sieci oraz dostawę sprzętu do usuwania awarii.;Roboty budowlane;45231300-8 - Roboty budowlane w zakresie budowy wodociągów i rurociągów do odprowadzania ścieków;Nie;umowa;2;5557900,00;5557900,00;5557900,00;SW-TEAM Wojciech Słomka (NIP 825-19-91-475 , Wola Kisielska );2023-05-05
2023-09-18;2023/BZP 00401703/01;kujawsko-pomorskie;Gmina Płużnica;Płużnica;„Rozbudowa stacji uzdatniania wody i wykonanie systemu zarządzania siecią wodociągową na terenie gminy Płużnica - Wymiana zestawu pompowego II stopnia wraz z pompą płuczną.”;Dostawy;42122130-0 - Pompy wodne;Nie;umowa;2;316082,94;669996,81;316082,94;Metrolog Sp. z o.o. (NIP 7631861838 , Czarnków );2023-08-18
2023-12-07;2023/BZP 00538070/01;wielkopolskie;GMINA NIECHANOWO;Niechanowo;Wprowadzenie systemu zdalnego odczytu i monitoringu zużycia wody na terenie Gminy Niechanowo – dostawa, wymiana wodomierzy oraz dostawa samochodu – CZĘŚĆ II i CZĘŚĆ III (II postępowanie);Dostawy;38421100-3 - Wodomierze;Nie;umowa;3;203179,65;1086605,50;203179,65;"PRZEDSIĘBIORSTWO HANDLOWO USŁUGOWE „WODEX”, Leszek Domagalski (NIP 7841345304 , Gniezno ); AUTOSANOK SP. Z O.O. (NIP 7842515872 , JANKOWO DOLNE 48a )";2023-11-17
2023-12-27;2023/BZP 00572909/01;świętokrzyskie;Gmina Mniów;Mniów;„Wdrożenie systemu monitoringu sieci wodociągowych na terenie Gminy Mniów”;Usługi;71631440-6 - Usługi monitorowania przepływu;Tak;umowa;1;338127,00;338127,00;338127,00;METERING Anna Moder (NIP 8311155542 , Buczek );2023-12-07
2024-03-20;2024/BZP 00252456/01;zachodniopomorskie;Gmina Bierzwnik;Bierzwnik;Wyposażenie stacji uzdatniania wody na terenie Gminy Bierzwnik poprzez zakup szaf sterowniczych z montażem i podłączeniem do systemu monitoringu i wizualizacji GPRS;Dostawy;31682210-5 - Aparatura i sprzęt sterujący;Tak;umowa;2;514891,26;600855,00;514891,26;Elektrotechnika i Automatyka Przemyslowa Mateusz Gorkowski (NIP 363600635 , Margonin );2024-03-20
2024-04-05;2024/BZP 00272452/01;lubuskie;GMINA MASZEWO;Maszewo;Budowa - systemu monitorowania sieci wodociągowej obejmującego wdrożenie systemu do zdalnego odczytu wodomierzy z wykorzystaniem technologii GSM do ...;Dostawy;38421000-2 - Urządzenia do pomiaru przepływu;Nie;umowa;1;759866,20;759866,20;759866,20;Orange Polska Spółka Akcyjna (NIP 0000010681 , Warszawa );2024-03-13
